Index,Raw_Temperature
0,2501
1,2529
2,2514
3,2506
4,2499
5,2526
6,2498
7,2520
8,2519
9,2512
10,2520
11,2522
12,2471
13,2495
14,2515
15,2498
16,2496
17,2478
18,2471
19,2504
20,2494
21,2521
22,2512
23,2513
24,2529
25,2527
26,2521
27,2507
28,2507
29,2474
30,2497
31,2511
32,2493
33,2520
34,2513
35,2471
36,2494
37,2482
38,2504
39,2511
40,2519
41,2504
42,2477
43,2510
44,2504
45,2506
46,2494
47,2485
48,2509
49,2510
50,2512
51,2524
52,2524
53,2481
54,2497
55,2473
56,2514
57,2504
58,2497
59,2500
60,2507
61,2478
62,2494
63,2513
64,2529
65,2495
66,2524
67,2504
68,2478
69,2517
70,2512
71,2499
72,2490
73,2504
74,2487
75,2506
76,2513
77,2513
78,2483
79,2482
80,2523
81,2478
82,2509
83,2511
84,2484
85,2511
86,2470
87,8491
88,2487
89,2494
90,2527
91,2518
92,2513
93,2474
94,2501
95,2483
96,2478
97,2480
98,7170
99,2481
